url,business_name,industry,mobile_score,mobile_lcp,mobile_cls,mobile_tbt,mobile_fcp,mobile_si,mobile_inp_crux,desktop_score,desktop_lcp,desktop_cls,desktop_tbt,desktop_fcp,desktop_si,platform,has_ssl,has_schema,schema_types,mobile_viewport
https://sitenova.dev,SiteNova (Baseline),Web Agency,69,3.60,0.000,530,3.30,3.67,N/A,97,0.80,0.000,130,0.72,0.72,WordPress,Yes,Yes,FAQPage; Organization; AboutPage; HowTo; WebPage,Yes
https://drdiptiganatra.com,Dr Dipti Ganatra Homeopathy (SiteNova Client),Doctors,90,3.18,0.000,74,2.28,3.09,N/A,100,0.65,0.000,16,0.49,0.72,Custom/Unknown,Yes,Yes,Person,Yes
https://jupiterfastfinance.com,Jupiter Fast Finance (SiteNova Client),Finance,59,9.08,0.026,218,4.68,5.26,N/A,89,1.64,0.008,144,0.85,1.26,Custom/Unknown,Yes,Yes,Organization; FinancialService; WebSite; FAQPage,Yes
https://corporatezone.in,Corporate Zone (SiteNova Client),Consultants,79,4.09,0.007,10,3.34,3.93,N/A,99,0.87,0.000,12,0.81,0.87,Custom/Unknown,Yes,Yes,Organization; WebSite; LocalBusiness; BreadcrumbList,Yes
https://sabkadentist.com,Sabka Dentist,Doctors,46,6.30,0.078,580,4.05,8.46,187,70,1.00,0.027,561,0.84,2.25,WordPress,Yes,Yes,None,Yes
https://trisadental.in,Trisa Dental Solutions,Doctors,36,52.45,0.237,340,7.45,14.48,N/A,39,6.49,0.000,648,1.32,3.79,WordPress,Yes,Yes,LocalBusiness; Dentist; BreadcrumbList,Yes
https://dentzzmumbai.com,Dentzz Dental Care,Doctors,52,4.53,0.372,131,3.21,7.04,N/A,85,1.11,0.154,53,0.93,2.62,Custom/Unknown,Yes,No,None,Yes
https://procaredental.co.in,Procare Dental Clinic,Doctors,36,30.87,0.006,1033,3.52,12.79,N/A,37,8.46,0.040,884,0.81,5.67,WordPress,Yes,Yes,None,Yes
https://wavikareye.com,Wavikar Eye Institute,Doctors,67,7.35,0.035,N/A,3.31,4.39,166,85,0.99,0.232,N/A,0.73,1.55,Custom/Unknown,Yes,Yes,MedicalOrganization; ItemList; WebSite; FAQPage; BreadcrumbList,Yes
https://theestheticclinics.com,The Esthetic Clinics,Doctors,28,34.88,0.008,3815,3.98,37.25,241,48,2.09,0.018,2014,1.08,10.42,WordPress,Yes,Yes,None,Yes
https://drbhartipatel.com,Bella Clinic Dr Bharti Patel,Doctors,57,11.64,0.081,350,1.67,7.63,N/A,62,1.40,0.376,222,0.45,3.49,GoDaddy,Yes,Yes,Organization; FAQPage,Yes
